##=============================================================================
## Dados retirados do http://www.whoscored.com/Regions/250/Tournaments/30/Seasons/3871/Stages/8466/TeamStatistics/Europe-UEFA-Europa-League-2013-2014
## country: País de origem do jogador;
## team   : Time no qual joga;
## name   : Nome do jogador;
## pos    : Posição em que joga;
##   FW      : forward;
##   AM      : attack midfielder;
##   M       : midfielder;
##   DM      : defender midfielder;
##   D       : defender;
##   GK      : goalkeeper;
##   C, L, R : center, left, right;
## age    : Idade (anos);
## cm     : altura (cm);
## kg     : Peso (kg);
## apps   : Vezes que jogou como titular (vezes que jogou como substituto);
## goal   : Gols feitos;
## a      : Assistências ou passes para gol;
## yel    : Número de cartões amarelos;
## red    : Número de cartões vermelhos;
## spg    : Chutes a gol por partida;
## ps     : Porcentagem de passes com sucesso;
## aw     : Duelos aéreos ganho por jogo;
## mom    : Man of the match (homem da partida)??
## rt     : Average rating;
##=============================================================================
country	team	name	pos	age	cm	kg	apps	goal	ass	yel	red	spg	ps	aw	mom	rt
Portugal	FC Porto	Helton	GK	35	189	85	6	NA	NA	NA	NA	NA	77.1	0.2	NA	6.44
Portugal	FC Porto	Marat Izmailov	FW	31	173	63	0(1)	NA	NA	NA	NA	NA	73.9	NA	NA	6.41
Portugal	FC Porto	Juan Quintero	AM(C)	21	168	62	0(3)	NA	NA	NA	NA	0.3	88.2	NA	NA	6.23
Portugal	FC Porto	Nabil Ghilas	FW	23	183	85	0(4)	NA	NA	NA	NA	0.5	83.3	0.8	NA	6.12
Portugal	FC Porto	Ricardo Pereira	FW	20	175	70	0(1)	NA	NA	NA	NA	NA	81.8	NA	NA	5.88
Portugal	FC Porto	Héctor Herrera	M	23	175	69	1(2)	NA	NA	NA	1	NA	86.4	NA	NA	5.84
Portugal	FC Porto	Diego Reyes	D	21	190	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Portugal	FC Porto	Fabiano	GK	26	197	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Portugal	FC Porto	Jorge Fucile	D(R)	29	178	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Portugal	FC Porto	Mikel Agu	M	20	184	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Antonio Candreva	AM(CLR)	27	180	70	29(1)	8	5	2	1	3.1	83	0.1	2	7.32
Italy	Lazio	Stefan Radu	D(CL)	27	183	79	20	1	NA	8	NA	0.5	83.6	1.2	1	7.2
Italy	Lazio	Senad Lulic	D(L),M(CL)	28	183	78	22(2)	4	2	8	NA	1.3	77.6	1.8	2	7.17
Italy	Lazio	Giuseppe Biava	D(C)	36	180	73	14(1)	NA	NA	2	NA	0.3	85.7	1.2	NA	7.1
Italy	Lazio	Lorik Cana	D(C),DM(C)	30	186	86	19(2)	2	NA	7	NA	0.6	81.7	3.1	2	7.08
Italy	Lazio	André Dias	D(C)	34	184	80	12(2)	1	NA	1	1	0.4	90.2	2.6	1	7.04
Italy	Lazio	Lucas Biglia	DM(C)	28	178	63	17(3)	1	1	5	NA	0.9	87.4	1	NA	7.03
Italy	Lazio	Miroslav Klose	AM(C),FW	35	184	84	20(2)	7	2	2	NA	1.8	73.2	2.8	2	7.02
Italy	Lazio	Michaël Ciani	D(C)	29	189	88	11(5)	1	NA	6	NA	0.3	85	2.2	NA	6.98
Italy	Lazio	Hernanes	M(C)	28	180	76	14(3)	3	NA	3	1	2.5	84.1	0.9	1	6.92
Italy	Lazio	Bruno Pereirinha	D(R)	26	173	68	6(1)	NA	1	2	NA	0.1	82.6	0.3	NA	6.92
Italy	Lazio	Luis Pedro Cavanda	D(LR),M(R)	24	190	82	14(3)	1	1	3	NA	0.1	83	0.9	NA	6.9
Italy	Lazio	Cristian Ledesma	DM(C)	31	180	78	20(1)	NA	3	6	1	0.5	75.3	1.2	NA	6.84
Italy	Lazio	Etrit Berisha	GK	25	194	92	10	NA	NA	NA	NA	NA	54.2	0.3	1	6.82
Italy	Lazio	Abdoulay Konko	D(LR),M(R)	30	182	77	18	NA	1	1	NA	0.6	81.7	0.9	NA	6.79
Italy	Lazio	Diego Novaretti	D(C)	28	193	85	8(1)	NA	NA	2	NA	0.3	75.6	1.8	NA	6.76
Italy	Lazio	Keita	AM(L)	19	184	80	8(11)	4	1	1	NA	1.7	79.5	0.6	2	6.75
Italy	Lazio	Ogenyi Onazi	DM(C)	21	170	65	15(10)	NA	2	3	1	1.3	85.4	0.5	NA	6.61
Italy	Lazio	Honorato Ederson	AM(CLR)	28	181	74	6(9)	1	1	NA	NA	1.1	83	1	1	6.6
Italy	Lazio	Federico Marchetti	GK	31	188	83	21	NA	NA	1	NA	NA	54.9	0.1	1	6.59
Italy	Lazio	Brayan Perea	FW	21	189	79	8(9)	1	1	3	NA	0.7	68.4	2.1	NA	6.42
Italy	Lazio	Sergio Floccari	FW	32	178	74	5(9)	NA	1	1	NA	1.4	75	1.3	NA	6.34
Italy	Lazio	Felipe Anderson	AM(L)	20	175	70	5(2)	NA	NA	NA	NA	0.9	84.7	0.4	NA	6.33
Italy	Lazio	Stefano Mauri	AM(CLR)	34	184	79	4(3)	1	NA	1	NA	0.7	76.8	0.7	NA	6.3
Italy	Lazio	Luca Crecco	FW	18	183	74	0(1)	NA	NA	NA	NA	NA	100	NA	NA	6
Italy	Lazio	Gaël Kakuta	AM(CR)	22	172	65	0(1)	NA	NA	NA	NA	NA	50	NA	NA	5.96
Italy	Lazio	Helder Postiga	FW	31	180	76	0(2)	NA	NA	NA	NA	NA	75	NA	NA	5.96
Italy	Lazio	Albano Bizzarri	GK	36	193	89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Antonio Rozzi	FW	19	180	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Cristiano Lombardi	FW	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Guido Guerrieri	GK	18	184	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Joseph Minala	M	17	184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Josip Elez	D	19	189	81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Libor Kozák	FW	24	192	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Mamadou Tounkara	FW	18	184	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Thomas Strakosha	GK	19	186	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Lazio	Vinicius	D	21	183	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spain	Sevilla	Ivan Rakitic	M(C)	26	184	72	27(1)	11	10	7	NA	2.6	78.7	1.2	6	7.77
Spain	Sevilla	Federico Fazio	D(C),DM(C)	27	195	85	21	2	1	6	NA	0.8	74.8	4.7	1	7.37
Spain	Sevilla	Daniel Carriço	D(C),DM(C)	25	180	75	18	2	NA	6	NA	0.8	79.3	2.5	2	7.17
Spain	Sevilla	Coke	D(R)	26	182	78	19(2)	3	NA	7	NA	1	76.9	2.1	3	7.1
Spain	Sevilla	Carlos Bacca	FW	27	181	76	24(6)	14	5	4	NA	2.2	67.2	1.2	3	7.04
Spain	Sevilla	Stéphane Mbia	D(C),DM(C)	27	189	82	14(1)	1	4	5	1	1	82.4	2.1	NA	7.04
Spain	Sevilla	Vicente Iborra	DM(C)	26	190	76	20(2)	1	2	9	1	1	77	4	NA	7.03
Spain	Sevilla	Vitolo	AM(LR)	24	183	80	22(2)	3	5	5	NA	1.2	78.9	0.6	NA	6.91
Spain	Sevilla	Alberto Moreno	D(L),M(L)	21	170	65	22(2)	3	NA	5	1	0.8	78.2	1	2	6.89
Spain	Sevilla	Nicolás Pareja	D(C)	30	183	75	19(1)	NA	NA	3	NA	0.2	77.3	2.4	NA	6.78
Spain	Sevilla	Beto	GK	31	180	80	29	NA	NA	3	NA	NA	56.5	0.5	NA	6.76
Spain	Sevilla	Diogo Figueiras	D(R)	23	170	62	14(3)	1	NA	7	NA	0.9	71.2	0.5	NA	6.76
Spain	Sevilla	Fernando Navarro	D(CL)	31	178	70	19(1)	NA	NA	2	NA	0.1	71.9	1.7	NA	6.76
Spain	Sevilla	Reyes	AM(CLR)	30	178	73	13(4)	NA	5	4	NA	1.1	67.8	0.5	NA	6.76
Spain	Sevilla	Diego Perotti	AM(CLR)	25	179	70	3(7)	1	1	2	NA	1.1	86.4	0.2	1	6.74
Spain	Sevilla	Cala	D(C)	24	180	76	9	1	NA	5	2	0.8	77.4	2	NA	6.66
Spain	Sevilla	Kevin Gameiro	FW	26	172	69	15(15)	9	2	2	NA	1.4	78.9	0.2	2	6.6
Spain	Sevilla	Jairo	AM(LR)	20	170	65	13(6)	3	1	3	1	1.3	64.1	0.6	2	6.57
Spain	Sevilla	Marko Marin	AM(CLR),FW	25	170	64	7(7)	NA	3	3	NA	0.9	83.9	NA	NA	6.56
Spain	Sevilla	Javi Varas	GK	31	182	73	2(1)	NA	NA	NA	NA	NA	47.4	NA	NA	6.53
Spain	Sevilla	Carlos Fernández	FW	17	188	77	0(2)	NA	NA	NA	NA	NA	87.5	1	NA	6.51
Spain	Sevilla	Sebastián Cristóforo	DM(C)	20	174	65	4(8)	NA	1	3	NA	0.2	88.3	0.4	NA	6.49
Spain	Sevilla	Geoffrey Kondogbia	DM(C)	21	188	74	0(2)	NA	NA	2	NA	0.5	93.2	0.5	NA	6.45
Spain	Sevilla	Bryan Rabello	M	19	163	60	2(4)	NA	NA	NA	NA	0.8	81.5	0.2	NA	6.32
Spain	Sevilla	Piotr Trochowski	M(CLR)	30	169	72	4(8)	NA	NA	1	NA	0.5	80.7	0.3	NA	6.22
Spain	Sevilla	Raul Rusescu	FW	25	180	73	0(1)	NA	NA	NA	NA	3	100	NA	NA	6.15
Spain	Sevilla	Israel	D	20	187	74	0(2)	NA	NA	NA	NA	NA	96.3	NA	NA	6.12
Spain	Sevilla	Denis Cheryshev	M	23	179	71	1(3)	NA	NA	1	1	0.8	72.2	0.8	NA	6.08
Spain	Sevilla	Cicinho	D(R)	27	170	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spain	Sevilla	Julián	GK	23	195	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spain	Sevilla	Luismi	D	21	186	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spain	Sevilla	Moi	D	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spain	Sevilla	Sergio Rico	GK	20	194	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	Tottenham	Vlad Chiriches	D(C)	24	183	75	13	1	NA	1	NA	0.3	89.3	1.5	1	7.19
England	Tottenham	Michael Dawson	D(C)	30	188	76	28(1)	NA	NA	6	NA	0.6	82.1	4	3	7.15
England	Tottenham	Mousa Dembélé	M(CR),FW	26	185	82	22(5)	1	1	5	NA	0.5	90.9	1.1	3	7.15
England	Tottenham	Emmanuel Adebayor	FW	30	191	82	14(1)	8	3	NA	NA	2	81.5	2.2	3	7.07
England	Tottenham	Christian Eriksen	AM(CL)	22	175	71	17(2)	5	4	2	NA	2	80.2	0.4	2	7.04
England	Tottenham	Kyle Walker	D(R)	23	178	70	26	1	2	5	NA	0.7	82.2	1.8	1	7.04
England	Tottenham	Andros Townsend	AM(LR)	22	181	81	12(9)	1	NA	2	NA	2.6	85	NA	3	7.01
England	Tottenham	Brad Friedel	GK	42	191	92	1	NA	NA	NA	NA	NA	81	NA	NA	7
England	Tottenham	Jan Vertonghen	D(CL)	26	189	86	23	NA	NA	4	NA	0.6	82.9	2.3	1	6.92
England	Tottenham	Danny Rose	D(L)	23	173	72	16	NA	2	2	1	0.4	79.5	1.2	NA	6.9
England	Tottenham	Etienne Capoue	D(C),DM(C)	25	189	80	8(4)	1	NA	1	NA	0.5	84.2	0.9	NA	6.89
England	Tottenham	Paulinho	M(C)	25	181	77	22(2)	4	2	4	1	2.4	84.8	0.5	NA	6.88
England	Tottenham	Nabil Bentaleb	DM(C)	19	187	68	11(3)	NA	1	2	NA	1.1	87.6	0.6	NA	6.72
England	Tottenham	Aaron Lennon	AM(LR)	26	165	63	21(1)	1	1	1	NA	0.8	84.9	0.1	1	6.71
England	Tottenham	Nacer Chadli	AM(CL)	24	187	80	11(9)	1	2	1	NA	1.5	84.7	1.6	NA	6.67
England	Tottenham	Hugo Lloris	GK	27	188	73	31	NA	NA	2	NA	NA	42.9	0.2	1	6.66
England	Tottenham	Lewis Holtby	M(CLR)	23	176	72	6(7)	1	NA	1	NA	1.5	82.2	0.2	NA	6.62
England	Tottenham	Ezekiel Fryers	D(L)	21	183	75	2(2)	NA	NA	NA	NA	0.3	73	0.5	NA	6.6
England	Tottenham	Gylfi Sigurdsson	AM(CLR)	24	186	79	12(8)	4	NA	2	NA	1.8	83	0.2	1	6.58
England	Tottenham	Roberto Soldado	FW	28	179	72	22(4)	6	5	5	NA	2.1	75.8	0.5	NA	6.57
England	Tottenham	Kyle Naughton	D(LR)	25	175	73	13(3)	NA	NA	3	NA	0.4	84.3	1.1	NA	6.53
England	Tottenham	Sandro	DM(C)	25	187	75	9(6)	1	NA	5	NA	0.8	84.9	0.9	NA	6.48
England	Tottenham	Younes Kaboul	D(CR)	28	182	75	6(2)	NA	NA	1	1	0.8	72.7	1.9	NA	6.41
England	Tottenham	Erik Lamela	AM(CLR),FW	22	183	79	3(6)	NA	1	1	NA	0.9	80.1	0.1	NA	6.34
England	Tottenham	Jermain Defoe	FW	31	171	65	3(11)	1	NA	1	NA	1.4	80.6	0.1	NA	6.26
England	Tottenham	Harry Kane	FW	20	183	65	0(4)	NA	NA	NA	NA	0.5	79.2	0.5	NA	6.11
England	Tottenham	Harry Winks	M	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	Tottenham	Heurelho Gomes	GK	33	191	91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	Tottenham	Milos Veljkovic	D	18	173	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	Tottenham	Ryan Fredericks	D(R)	21	190	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
England	Tottenham	Tom Carroll	M(C)	21	177	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spain	Valencia	Daniel Parejo	M(C)	24	180	75	21(3)	2	4	6	NA	1	87.3	0.8	2	7.42
Spain	Valencia	Pablo Piatti	AM(CLR),FW	25	163	63	10(1)	3	2	2	NA	2	75.6	0.9	1	7.16
Spain	Valencia	Antonio Barragán	D(LR)	26	182	76	15(1)	NA	4	1	1	0.3	79.9	1.3	NA	7.09
Spain	Valencia	Adil Rami	D(C)	28	190	82	3	NA	NA	1	NA	1	84.6	3.7	1	7.03
Spain	Valencia	Jonathan Viera	AM(CL)	24	170	64	1	NA	NA	NA	NA	1	84.2	NA	NA	7.03
Spain	Valencia	Jeremy Mathieu	D(CL),M(L)	30	192	82	28	2	NA	5	1	0.6	82.8	1.9	NA	7.01
Spain	Valencia	Juan Bernat	D(L),M(L)	21	172	67	20(6)	1	2	2	NA	0.4	86.6	0.8	1	6.98
Spain	Valencia	Sofiane Feghouli	AM(LR)	24	177	71	17(9)	3	7	3	NA	1.5	73.2	1.1	1	6.94
Spain	Valencia	Jonas	AM(CLR),FW	29	181	73	20(5)	9	1	3	NA	2.9	78	2	1	6.93
Spain	Valencia	Paco Alcácer	FW	20	183	74	12(4)	6	2	5	NA	1.9	71.6	1.7	1	6.91
Spain	Valencia	Javi Fuego	DM(C)	30	181	76	20(2)	2	NA	3	NA	0.6	86.5	1.5	1	6.9
Spain	Valencia	Ricardo Costa	D(C)	32	183	80	17	3	NA	5	1	0.7	88	1.9	NA	6.9
Spain	Valencia	Seydou Keita	DM(C)	34	183	75	6(1)	1	NA	2	NA	0.9	76.9	2.6	NA	6.87
Spain	Valencia	Víctor Ruiz	D(C)	26	184	75	8(3)	1	NA	3	NA	0.2	83.4	2.4	NA	6.83
Spain	Valencia	Diego Alves	GK	28	188	83	24	NA	NA	2	NA	NA	52.9	0.5	3	6.81
Spain	Valencia	Fede	AM(LR)	21	170	69	13(7)	NA	1	3	NA	1.8	81.4	0.3	2	6.81
Spain	Valencia	Rubén Vezo	D	19	184	76	2(2)	1	NA	NA	NA	1	78.1	2.3	NA	6.76
Spain	Valencia	Andrés Guardado	D(L),M(L)	27	169	67	12(4)	NA	NA	3	NA	0.3	82.1	0.9	NA	6.75
Spain	Valencia	Oriol Romeu	DM(C)	22	182	79	10(1)	NA	NA	3	NA	0.2	89.4	2.1	NA	6.68
Spain	Valencia	Dorlan Pabón	AM(LR),FW	26	170	69	11(2)	3	NA	NA	NA	2.8	80.1	0.1	NA	6.66
Spain	Valencia	Eduardo Vargas	AM(CR),FW	24	175	69	7(3)	3	1	1	NA	1.9	77.2	1.7	NA	6.62
Spain	Valencia	Vicente Guaita	GK	27	190	80	7(2)	NA	NA	1	NA	NA	57.8	0.7	NA	6.62
Spain	Valencia	João Pereira	D(R)	30	172	64	17(2)	NA	2	6	NA	0.2	81.2	0.2	NA	6.57
Spain	Valencia	Philippe Senderos	D(C)	29	190	84	5(1)	NA	NA	3	NA	0.5	77.8	2.3	NA	6.56
Spain	Valencia	Helder Postiga	FW	31	180	76	9(6)	3	NA	1	NA	1.6	75	1.8	NA	6.5
Spain	Valencia	Míchel	M(CR)	25	180	73	4(6)	NA	1	3	NA	0.6	86.2	0.8	NA	6.48
Spain	Valencia	Portu	M	21	177	73	1	NA	NA	1	NA	NA	74.2	3	NA	6.38
Spain	Valencia	Sergio Canales	AM(CLR)	23	176	70	7(12)	NA	1	1	NA	1.2	86.8	0.2	NA	6.3
Spain	Valencia	Vinícius Araújo	FW	21	176	76	0(3)	NA	NA	NA	NA	0.3	100	0.3	NA	5.99
Spain	Valencia	Sivera	GK	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spain	Valencia	Jaume	GK	23	185	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Portugal	Benfica	Guillherme Siqueira	D(L)	27	184	76	3	NA	NA	NA	NA	0.3	78.8	1	NA	7.17
Portugal	Benfica	Lubomir Fejsa	DM(C)	25	185	80	4	NA	NA	NA	NA	0.3	81.8	2	NA	7.13
Portugal	Benfica	Luisão	D(C)	33	192	90	6	1	1	NA	NA	1.2	88	1.5	1	7.04
Portugal	Benfica	Enzo Pérez	M(C)	28	177	71	6	NA	1	2	NA	0.8	82.8	0.5	NA	7.04
Portugal	Benfica	Silvio	D(LR)	26	178	72	2	NA	NA	1	NA	1	84.4	2.5	NA	7
Portugal	Benfica	André Almeida	D(R)	23	178	71	4	NA	1	1	NA	0.3	87.5	0.3	NA	6.88
Portugal	Benfica	Nemanja Matic	DM(C)	25	194	84	6	1	NA	1	NA	1	83.2	1.3	NA	6.82
Portugal	Benfica	Nicolas Gaitán	AM(CLR)	26	173	68	5	1	NA	2	NA	1.2	74.6	NA	NA	6.8
Portugal	Benfica	Filip Djuricic	M	22	176	67	2(1)	1	NA	NA	NA	1.3	73.8	NA	NA	6.72
Portugal	Benfica	Ezequiel Garay	D(C)	27	185	80	6	NA	NA	NA	NA	0.7	85.7	1.5	NA	6.64
Portugal	Benfica	Artur Moraes	GK	33	192	90	6	NA	NA	1	NA	NA	52.7	0.2	NA	6.6
Portugal	Benfica	Rodrigo	FW	23	180	70	0(2)	1	NA	NA	NA	0.5	50	0.5	NA	6.52
Portugal	Benfica	Maxi Pereira	D(R)	29	173	72	3(1)	NA	NA	2	NA	0.5	79.8	0.5	NA	6.5
Portugal	Benfica	Miralem Sulejmani	AM(R)	25	176	75	0(3)	NA	1	NA	NA	0.3	95	NA	NA	6.42
Portugal	Benfica	Lima	FW	30	178	78	3(2)	1	NA	NA	NA	2.2	78.4	0.4	NA	6.39
Portugal	Benfica	Lazar Markovic	AM(LR)	20	175	65	4(1)	NA	NA	NA	NA	0.8	80.3	NA	NA	6.37
Portugal	Benfica	Rubén Amorim	M(C)	29	180	78	1(1)	NA	NA	1	NA	NA	81	0.5	NA	6.32
Portugal	Benfica	André Gomes	M(C)	20	188	83	0(2)	NA	NA	NA	NA	0.5	96.6	1	NA	6.3
Portugal	Benfica	Ivan Cavaleiro	FW	20	175	70	0(4)	NA	NA	NA	NA	0.3	64	0.3	NA	6.11
Portugal	Benfica	Ola John	AM(LR)	21	180	80	1(1)	NA	NA	NA	NA	1	84.8	NA	NA	6.11
Portugal	Benfica	Jan Oblak	GK	21	185	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Portugal	Benfica	Jardel	D(C)	28	192	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Portugal	Benfica	Paulo Lopes	GK	35	184	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Switzerland	Basel	Fabian Schär	D(C)	22	186	85	6	NA	1	3	NA	0.7	79.2	2.5	1	7.64
Switzerland	Basel	Geoffrey Serey Die	M(C)	29	179	74	4	NA	NA	1	NA	1.3	88.9	1	NA	7.29
Switzerland	Basel	Kay Voser	D(R)	27	173	69	6	NA	NA	2	NA	0.2	80.4	1.2	NA	7.02
Switzerland	Basel	Fabian Frei	DM(C),M(L)	25	181	74	6	NA	NA	1	NA	1.2	88.5	1.5	NA	6.86
Switzerland	Basel	Ivan Ivanov	D(C)	26	186	77	6	NA	NA	1	1	0.7	89.3	2.3	NA	6.85
Switzerland	Basel	Mohamed Salah	AM(R)	21	175	72	6	2	NA	NA	NA	1.7	76.5	NA	NA	6.81
Switzerland	Basel	Yann Sommer	GK	25	182	79	6	NA	NA	NA	NA	NA	71	NA	NA	6.8
Switzerland	Basel	Behrang Safari	D(L)	29	184	73	3	NA	NA	NA	NA	0.7	82.5	1.3	NA	6.66
Switzerland	Basel	Marcelo Diaz	M(C)	27	166	63	3(1)	1	NA	1	NA	0.8	85.2	0.3	NA	6.66
Switzerland	Basel	Valentin Stocker	AM(L)	24	179	72	6	NA	1	NA	NA	1.3	70.7	0.7	NA	6.64
Switzerland	Basel	Mohamed Elneny	M(C)	21	180	70	2(1)	NA	NA	NA	NA	0.7	84.6	1	NA	6.56
Switzerland	Basel	Marco Streller	FW	32	195	83	6	1	2	NA	NA	1.2	62.3	2.3	NA	6.54
Switzerland	Basel	Giovanni Sio	FW	25	180	70	1(4)	1	NA	1	NA	1	70.7	1	NA	6.51
Switzerland	Basel	Taulant Xhaka	D	23	171	72	4(2)	NA	NA	1	NA	NA	77.2	0.8	NA	6.5
Switzerland	Basel	Matías Delgado	M	31	182	77	1(3)	NA	1	1	NA	0.3	80.6	0.5	NA	6.45
Switzerland	Basel	Arlind Ajeti	D	20	177	67	0(4)	NA	NA	NA	NA	NA	64.7	0.8	NA	6.27
Switzerland	Basel	Philipp Degen	D(R),M(R)	31	185	81	0(1)	NA	NA	NA	NA	1	100	1	NA	6.06
Switzerland	Basel	Gastón Sauro	D(C)	24	190	78	0(1)	NA	NA	NA	NA	NA	NA	NA	NA	6
Switzerland	Basel	David Degen	M(R)	31	185	82	0(1)	NA	NA	1	NA	NA	50	NA	NA	5.99
Switzerland	Basel	Germano Vailati	GK	33	186	82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ukraine	Dnipro	Sergiy Kravchenko	M	30	183	75	1	1	NA	NA	NA	4	88.5	2	1	9.29
Ukraine	Dnipro	Yevheniy Konoplyanka	AM(L)	24	176	69	7	4	2	NA	NA	3.9	81.3	0.1	2	8.14
Ukraine	Dnipro	Ruslan Rotan	DM(C)	32	176	73	7	2	3	2	NA	1.6	80.1	1.1	2	7.91
Ukraine	Dnipro	Ondrej Mazuch	D(C)	25	189	88	6	NA	NA	1	NA	0.5	88.5	2.2	NA	7.3
Ukraine	Dnipro	Aleksandr Kobakhidze	M	27	184	73	1	NA	NA	NA	NA	2	70.3	2	NA	7.26
Ukraine	Dnipro	Jaba Kankava	DM(C)	28	176	75	7	NA	NA	1	NA	1	77	1.3	NA	7.2
Ukraine	Dnipro	Alexandru Vlad	D	24	173	67	4	NA	NA	NA	NA	0.3	83.2	0.8	NA	7.03
Ukraine	Dnipro	Artem Fedetskiy	D(R)	28	184	82	6	NA	1	NA	NA	0.8	69.8	0.8	NA	7.01
Ukraine	Dnipro	Ivan Strinic	D(L)	26	186	78	4	NA	NA	1	NA	NA	78.4	0.8	NA	6.98
Ukraine	Dnipro	Vitaliy Mandzyuk	D(R)	28	180	73	4	NA	NA	NA	NA	0.3	78.1	1.3	NA	6.96
Ukraine	Dnipro	Evgen Cheberyachko	D(C)	30	180	75	8	NA	NA	NA	NA	NA	78.3	0.5	NA	6.81
Ukraine	Dnipro	Denys Boyko	GK	26	191	84	8	NA	NA	NA	NA	NA	39.3	0.1	NA	6.76
Ukraine	Dnipro	Roman Zozulya	FW	24	175	62	7(1)	2	3	2	1	1.5	77	1.5	NA	6.74
Ukraine	Dnipro	Evgeniy Shakhov	M	23	187	79	0(2)	1	NA	1	NA	0.5	72	1	NA	6.68
Ukraine	Dnipro	Matheus	FW	31	175	68	4(2)	1	NA	NA	NA	2.2	64.4	0.7	NA	6.67
Ukraine	Dnipro	Nikola Kalinic	FW	26	187	80	3(1)	1	2	NA	NA	2.5	72	1.3	NA	6.63
Ukraine	Dnipro	Bruno Gama	AM(R)	26	178	68	5(1)	NA	NA	NA	NA	0.5	81.3	0.5	NA	6.59
Ukraine	Dnipro	Andriy Bliznichenko	FW	19	189	70	0(1)	NA	NA	NA	NA	1	88	NA	NA	6.57
Ukraine	Dnipro	Sergiy Polytilo	M	25	165	63	2(2)	NA	NA	NA	NA	0.3	89	0.5	NA	6.54
Ukraine	Dnipro	Giuliano	AM(C)	23	171	68	2(2)	NA	NA	NA	NA	0.5	82.9	NA	NA	6.35
Ukraine	Dnipro	Evgen Seleznyov	FW	28	185	77	1(4)	1	NA	1	NA	2	76.9	0.8	NA	6.3
Ukraine	Dnipro	Denys Kulakov	M	27	182	76	1(4)	NA	NA	2	NA	NA	82.2	0.2	NA	6.22
Ukraine	Dnipro	Oleksandr Svatok	M	NA	NA	NA	0(1)	NA	NA	1	NA	NA	100	NA	NA	5.95
Ukraine	Dnipro	Douglas	D	23	190	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ukraine	Dnipro	Igor Vartsaba	GK	23	182	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ukraine	Dnipro	Jan Lastuvka	GK	31	191	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ukraine	Dynamo Kyiv	Andriy Yarmolenko	AM(LR)	24	187	76	7	4	NA	3	NA	2.7	78.2	0.4	1	8.06
Ukraine	Dynamo Kyiv	Yevhen Khacheridi	D(C)	26	197	86	7	NA	NA	1	NA	0.7	83.2	6.1	NA	7.7
Ukraine	Dynamo Kyiv	Evgeniy Makarenko	M	22	182	71	4(2)	NA	NA	NA	NA	0.2	82	2.3	1	7.29
Ukraine	Dynamo Kyiv	Oleksandr Rybka	GK	26	193	92	1(1)	NA	NA	NA	NA	NA	54.3	NA	NA	7.27
Ukraine	Dynamo Kyiv	Danilo Silva	D(R)	27	185	69	6	NA	2	2	NA	0.3	72.3	1.7	NA	7.16
Ukraine	Dynamo Kyiv	Oleksandr Shovkovskiy	GK	39	191	86	4	NA	NA	NA	NA	NA	54.2	0.5	1	7.1
Ukraine	Dynamo Kyiv	Miguel Veloso	DM(C)	27	181	79	7	1	NA	NA	NA	1.6	87.6	0.6	1	7.08
Ukraine	Dynamo Kyiv	Maxim Koval	GK	21	184	79	3	NA	NA	1	NA	NA	62.2	NA	NA	7.05
