ano	uf	codigo	estado	urbana_mulher	rural_mulher	urbana_homem	rural_homem
1996	PR	41	Paraná	3583681	947769	3428309	1044045
1996	RJ	33	Rio de Janeiro	6672356	286317	6134132	313503
1996	RN	24	Rio Grande do Norte	963602	345514	879884	369660
1996	RO	11	Rondônia	382636	213076	380119	253475
1996	RR	14	Roraima	86862	32891	87415	39963
1996	RS	43	Rio Grande do Sul	3914331	982498	3665646	1072213
1996	SC	42	Santa Catarina	1808716	627760	1756414	682354
1996	SE	28	Sergipe	593998	235035	546416	248571
1996	SP	35	São Paulo	16195961	1118164	15571657	1233328
1996	TO	17	Tocantins	372286	139238	368723	168395
2000	AC	12	Acre	190077	86466	180190	100793
2000	AL	27	Alagoas	1000571	443108	919168	459774
2000	AM	13	Amazonas	1066706	331484	1040516	373851
2000	AP	16	Amapá	213733	23846	210950	28503
2000	BA	29	Bahia	4544426	2063791	4227922	2234111
2000	CE	23	Ceará	2777846	1024341	2537472	1091002
2000	DF	53	Distrito Federal	1027660	42130	933839	47517
2000	ES	32	Espírito Santo	1263309	299117	1199740	335066
2000	GO	52	Goiás	2235879	274911	2160766	331672
2000	MA	21	Maranhão	1746202	1092592	1617868	1194813
2000	MG	31	Minas Gerais	7526930	1512977	7144898	1706689
2000	MS	50	Mato Grosso do Sul	886137	151840	860969	179055
2000	MT	51	Mato Grosso	987895	229271	999831	287356
2000	PA	15	Pará	2102458	957081	2018235	1114533
2000	PB	25	Paraíba	1283304	488543	1163908	508070
2000	PE	26	Pernambuco	3183257	908430	2874992	951665
2000	PI	22	Piauí	938616	506372	849974	548316
2000	PR	41	Paraná	3984067	841971	3802017	935403
2000	RJ	33	Rio de Janeiro	7217575	273372	6603891	296444
2000	RN	24	Rio Grande do Norte	1059876	356953	976797	383156
2000	RO	11	Rondônia	444809	226838	439714	268426
2000	RR	14	Roraima	123087	35273	123929	42108
2000	RS	43	Rio Grande do Sul	4299600	893479	4018384	976335
2000	SC	42	Santa Catarina	2141715	545334	2076216	593095
2000	SE	28	Sergipe	662159	247410	611067	263839
2000	SP	35	São Paulo	17731201	1161839	16861650	1277713
2000	TO	17	Tocantins	431871	133420	428090	163717
2007	AC	12	Acre	237644	86108	226087	102914
2007	AL	27	Alagoas	1130759	414607	1036742	435687
2007	AM	13	Amazonas	1239069	326781	1208239	383828
2007	AP	16	Amapá	263415	26922	260084	31940
2007	BA	29	Bahia	2839651	1831713	2693041	2015234
2007	CE	23	Ceará	1416562	987978	1333265	1064781
2007	DF	53	Distrito Federal	NA	NA	NA	NA
2007	ES	32	Espírito Santo	582729	257508	560595	286712
2007	GO	52	Goiás	1429767	237955	1413059	289596
2007	MA	21	Maranhão	1937127	1115248	1795587	1225639
2007	MG	31	Minas Gerais	4912327	1357075	4723172	1542492
2007	MS	50	Mato Grosso do Sul	969957	159222	936192	186513
2007	MT	51	Mato Grosso	1139444	237883	1147066	305087
2007	PA	15	Pará	1313306	928000	1312305	1093357
2007	PB	25	Paraíba	1391812	463307	1265995	488530
2007	PE	26	Pernambuco	1763380	783033	1618958	833584
2007	PI	22	Piauí	1014033	515020	918250	563326
2007	PR	41	Paraná	2392683	729684	2298871	808385
2007	RJ	33	Rio de Janeiro	1471460	195069	1400026	210440
2007	RN	24	Rio Grande do Norte	1189260	328566	1098906	358237
2007	RO	11	Rondônia	503538	206385	492049	241762
2007	RR	14	Roraima	150196	38850	147951	47324
2007	RS	43	Rio Grande do Sul	2395806	755103	2260692	834923
2007	SC	42	Santa Catarina	1683765	460057	1636855	505274
2007	SE	28	Sergipe	723405	257803	661156	275150
2007	SP	35	São Paulo	6065387	627977	5921897	759660
2007	TO	17	Tocantins	479606	122733	471651	154783
2010	AC	12	Acre	272892	92343	259387	108937
2010	AL	27	Alagoas	1204208	404519	1093652	418115
2010	AM	13	Amazonas	1393928	336878	1361562	391617
2010	AP	16	Amapá	303240	31151	297796	37339
2010	BA	29	Bahia	5261865	1876775	4840611	2037655
2010	CE	23	Ceará	3314719	1017574	3031838	1088250
2010	DF	53	Distrito Federal	1301433	39847	1180777	48103
2010	ES	32	Espírito Santo	1508868	274866	1422604	308614
2010	GO	52	Goiás	2756528	265633	2664186	317441
2010	MA	21	Maranhão	2151304	1161970	1995845	1265670
2010	MG	31	Minas Gerais	8606233	1349220	8108983	1532894
2010	MS	50	Mato Grosso do Sul	1067726	161370	1029512	190416
2010	MT	51	Mato Grosso	1239024	246562	1243777	305759
2010	PA	15	Pará	2653769	1105445	2537790	1284047
2010	PB	25	Paraíba	1488858	453291	1349820	474559
2010	PE	26	Pernambuco	3717770	847997	3334440	896241
